word,arti,contoh,bahasa
BILIK,anyaman dari bilah bambu (untuk dinding dan sebagainya),rumahnya berdinding --,
BILIS,sakit dan merah matanya,,
BILUR,luka panjang pada kulit (bekas kena cambuk),apakah -- di tanganmu itu bekas pukulan?,
BIMAS,bimbingan massal,,akronim
BINAL,bengal,"akibat kurangnya perhatian pihak orang tua, banyak anak muda menjadi --",
BINAR,sinar,"dia tetap membisu, hanya -- matanya kian redup",
BINCU,gincu,,Arkais
BINDE,membuka sesuatu dengan cara menindih pinggirnya,ibu -- kaleng susu,
BINDI,gada yang berukuran kecil dan bertangkai panjang,,
BINDU,perkakas untuk memutar kayu dan sebagainya yang akan dilarik (dilicinkan dan dijadikan bulat atau bulat panjang),,
BINEN,"telah berhasil (memperoleh kedudukan, kekayaan, dan sebagainya)",di sinilah tempat tinggal orang-orang yang sudah --,Cakapan
BINER,terjadi dari atau ditandai oleh dua benda atau dua bagian,,
BINES,benih padi,,Madura
BINGI,"suku bangsa yang mendiami daerah pedalaman di Kabupaten Mamuju, Provinsi Sulawesi Barat",,
BINGO,"permainan keberuntungan menggunakan kartu yang memiliki kotak-kotak bernomor sesuai dengan bola bernomor yang diambil secara acak, dimenangkan jika seorang pemain berhasil menutupi kotak-kotak tersebut dalam satu baris",,
BINTI,kata untuk menyatakan anak perempuan dari seseorang (biasa dipakai untuk keterangan antara nama seseorang dan nama ayah),Siti Aisyah -- Abu Bakar,Arab
BINYI,bibit padi,,Dayak
BIOLA,"alat musik gesek, kecil, berlekuk di bagian tengahnya, bertali empat, bersuara melengking jika digesek, cara memainkannya dengan menempatkan pangkalnya di antara dagu dan pundak",,
BIOMA,"ekosistem dalam skala luas, berupa wilayah yang mempunyai sifat geografis atau iklim yang sama (misalnya hutan tropis, padang pasir, padang rumput), ditunjukkan dengan garis lintang dan bujur",,Ekologi
BIOTA,keseluruhan flora dan fauna yang terdapat di dalam suatu daerah,,
BIPIM,"suku bangsa yang mendiami daerah bagian selatan Papua, di Kabupaten Merauke",,
BIPOD,penyangga yang terdiri atas dua buah kaki berbentuk batang,,
BIRAH,"talas yang besar dan getahnya gatal, dapat menimbulkan gatal apabila kena kulit, umbinya enak setelah direbus dan sebagainya",,
BIRAI,pagar (dinding) rendah di tepi jembatan (tangga) atau di pinggir perahu,,
BIRAM,gajah,,Klasik
BIRAS,pertalian persaudaraan antara dua orang karena kawin dengan dua orang yang bersaudara,,
BIRAT,parut atau bekas kurap di keliling mulut,,
BIRIH,bagian dari jendela layar belah,,Komputer
BIRIT,pantat,,
BISAI,bagus,dandanannya indah -- terlalu,Klasik
BISAN,→ besan,,
BISEP,→ biseps,,
BISIK,suara desis perlahan-lahan,sering kali terngiang dalam telingaku -- rayu kekasihku,
BISON,"mamalia berkuku genap, bertubuh besar, bertanduk kecil, berpunuk besar, dengan rambut bagian depan lebih panjang",,
BISSU,"tradisi sastra lisan yang hidup di daerah Pangkep (Sulawesi Selatan), dilakukan oleh sekelompok laki-laki yang mengenakan pakaian serta bersuara dan bertingkah seperti perempuan",,
BISUH,cuci tangan,-- sebelum dan sesudah makan,
BISUL,bintil yang membengkak pada kulit yang berisi nanah dan bermata,,
BITOT,putih keabu-abuan,,
BIUKU,kura-kura yang sudut matanya bergaris kuning sehingga pandangan matanya tampak suram (tidak berseri-seri),,
BIVAK,pondok (tempat bermalam) sementara di tengah hutan dan sebagainya (bagi tentara dan sebagainya),,
BIYAK,panggilan untuk anak laki-laki atau anak perempuan,ke mana -- tadi pergi? Dy,Dayak
BKKBN,"Badan Kependudukan dan Keluarga Berencana Nasional (lembaga pemerintah nonkementerian yang bertugas di bidang keluarga berencana dan keluarga sejahtera, dulu bernama Badan Koordinasi Keluarga Berencana Nasional)",,singkatan
BKKKS,Badan Koordinasi Kegiatan Kesejahteraan Sosial (organisasi yang bertugas melakukan koordinasi terhadap organisasi-organisasi yang menyelenggarakan kesejahteraan sosial di tingkat provinsi),,singkatan
BKSDA,Balai Konservasi Sumber Daya Alam,,singkatan
BLALO,kembang tanaman bawang merah,,Madura
BLANG,upacara kesuburan yang biasa dilakukan setiap tahun oleh masyarakat petani Aceh dan Gayo,,Aceh
BLAUK,"anak capung yang belum dapat terbang, biasanya hidup di permukaan lumpur sawah",,Bali
BLENG,cairan yang digunakan untuk campuran pembuatan kerupuk dan sebagainya,,
BLITZ,lampu kilat,,
BLONG,tidak berfungsi karena tidak ada tahanan (tentang rem),"belum dapat dipastikan sebab-sebab kecelakaan itu, apakah remnya -- atau supirnya mengantuk",Cakapan
BLOON,→ beloon,,
BLORA,"kabupaten di Provinsi Jawa Tengah, ibu kotanya Blora",,
BLUES,jenis lagu ratapan orang Negro Amerika yang berkembang mulai tahun 1911 sebagai perintis musik jaz,,Musik
BLUNG,wadah yang digunakan untuk menampung ikan hasil tangkapan atau hasil pancingan yang terbuat dari bahan plastik berbentuk silinder,hasil tangkapan segera ditampung dalam -- yang sudah disiapkan,Jawa
BOANO,"suku bangsa yang mendiami daerah sebelah barat Pulau Seram di Kabupaten Maluku Tengah, Provinsi Maluku dan Sulawesi Tengah",,
BOBAK,kulit binatang,,Batak
BOBAR,batas kebun berupa kayu-kayu sisa yang disusun,,
BOBAT,menggendong sesuatu di punggung dengan menggunakan tali yang disangkutkan ke dahi,ibu -- ranting-ranting kayu itu sendiri,Melayu Riau
BOBIN,kumparan benang yang ada di bagian bawah mesin jahit,,
BOBOK,tidur (untuk anak-anak),"--lah anakku, hari sudah larut malam",Cakapan
BOBOL,jebol atau rusak (tentang bendungan dan sebagainya),,
BOBOR,tidak tumbuh lagi karena sudah dewasa (tentang tanaman),pohon ini sudah --,Batak
BOBOS,"berlubang besar karena sobek, pecah, dan sebagainya",,
BOBOT,berat suatu benda,pesawat itu --nya lebih dari 10.000 kilogram,
BOCAH,anak (kecil),sewaktu ayahnya meninggal ia masih --,
BOCIL,bocah kecil,,Cakapan
BOCOK,kelambu (kain tipis) penutup buaian bayi,,Arkais
BOCOR,berlubang sehingga air (udara) dapat keluar atau masuk,gantilah cepat-cepat genting yang -- itu,
BODAR,memukul kuat-kuat dengan maksud untuk menyakiti,,Melayu Riau
BODOH,tidak lekas mengerti,"anak ini -- benar, masak menghitung lima tambah lima saja tidak bisa?",
BODOK,kusta pada taraf permulaan,,
BODOR,lucu,,Sunda
BOFOT,upacara peminangan atau pertunangan,,Sorong
BOGAM,keping-keping kecil dari emas untuk perhiasan tajuk dan sebagainya,,
BOGAS,jejak hewan liar,,Batak
BOGEL,telanjang,,
BOGEM,bidang persegi pembatas badan dan kepala kain batik Cirebon yang biasanya berisi hiasan flora dan fauna,,Sunda
BOGOK,jago (tentang ayam aduan),"ayam ini memang --, belum terkalahkan sampai sekarang",Melayu Riau
BOGOL,borgol,,Arkais
BOGOR,enau,,
BOGOT,buruk sekali (membangkitkan rasa ngeri),,
BOHAI,mempunyai bentuk badan yang bagus dan terkesan seksi,,Cakapan
BOHOK,→ buhuk,,
BOKAP,ayah,,Cakapan
BOKAR,bahan pengolah karet,,Arkais
BOKCA,kantong untuk membawa bekal (makanan dan sebagainya),,Klasik
BOKEH,"foto yang menonjolkan objek utama dengan fokus yang sangat tajam, sementara latar belakang (dan/atau depan) sangat kabur",,Jepang
BOKEK,tidak punya uang,"bukannya saya tidak mau menolongmu, tetapi saya sendiri sedang --",Cakapan
BOKEO,gelar raja pada zaman Kerajaan Konawe dan Mekongga,,Tolaki
BOKEP,film porno,,Cakapan
BOKOH,lemah,,Arkais
BOKOL,anak ikan tombro,,Madura
BOKOP,bengkak,,Arkais
BOKOR,pinggan besar yang cekung dan bertepi lebar (biasanya dibuat dari logam),,
BOKOT,→ bukut,,
BOKSU,pendeta Kristen Cina,,
BOLAK,salah,tak -- lagi,Klasik
BOLAS,ikat pinggang laki-laki dari kulit hewan yang dihiasi uang perak,,
BOLEH,diizinkan,anak-anak -- menonton,Adverbia
BOLEN,"penganan yang berbahan dasar pisang, biasanya diberi tambahan cokelat atau keju, lalu dililit dengan adonan pastri, kemudian dipanggang",,
BOLOK,"pohon khas Kalimantan Timur, buahnya berbentuk seperti apel kecil-kecil, rasanya manis tetapi memabukkan, biasa dimakan oleh pelanduk, kijang, dan rusa",,
BOLON,rumah adat Batak,,
BOLOS,→ bulus (2),,
BOLOT,balut,,Arkais
BOLTA,"kayu pendek yang berukuran 0,6--2,4 cm, biasanya digunakan dalam industri pengolahan kayu",,Kehutanan
BOMOH,dukun,,
BOMOR,→ bomoh,,
BONAI,"suku bangsa yang mendiami daerah Kampar, Riau",,
BONAR,gencatan senjata (di Tapanuli),,
BONDO,pakaian yang masih basah,,Tolaki
BONEN,buncit tetapi badannya kurus,,Gayo
BONET,"sastra lisan dari Timor berupa tuturan syair, dilantunkan sambil menari membentuk lingkaran dan  bergandeng tangan, biasanya dilakukan saat perkawinan atau pesta adat",kami menari diiringi --,Sastra
BONGA,"ulat kecil berwarna putih, tubuhnya berdebu seperti abu, sering ditemukan di dedaunan pohon","jika musim kemarau telah tiba, banyak -- menempel di daun pohon buah-buahan",Melayu Riau
BONGO,alat musik berupa sepasang gendang kecil (yang dipukul-pukul dengan tangan) yang bagian bawahnya tidak bertutup,,
BONTO,tidak segar lagi (tentang ikan),jangan membeli ikan --,Melayu Jakarta
BONUS,upah tambahan di luar gaji atau upah sebagai hadiah atau perangsang,,
BONYO,patahan beras sisa penapisan berukuran kecil,,
BOPEM,jendela yang ukurannya relatif pendek,,Jawa
BOPOK,rusak,,Cakapan
BORAK,→ burak,,
BORAT,istilah generik untuk garam atau ester asam borat,,Kimia
BORCI,"kertas emas untuk hiasan, sulaman, dan sebagainya",,Arkais
BORDU,dinding pada tepi perahu (kapal),,Arkais
BOREH,bedak basah yang kuning warnanya dan harum baunya,,
BOREK,burik,,
BOROH,bengkak di wajah akibat penyakit atau sengatan lebah,,Melayu Riau
BOROK,luka bernanah dan busuk (karena infeksi),,
BOROM,"tempat mencari ikan dan hasil laut lainnya untuk dijual, biasanya di laut dalam yang jauh dari kampung dan membutuhkan perjalanan selama satu minggu",,Karey
BORON,zat yang sekaligus meredam dan menetralkan neutron,,
BOROS,"berlebih-lebihan dalam pemakaian uang, barang, dan sebagainya",orang yang hidupnya -- tidak akan menjadi kaya,
BORTA,pohon aren muda,,Batak
BORTO,suku bangsa yang mendiami daerah bagian utara Papua,,
BOSAN,sudah tidak suka lagi karena sudah terlalu sering atau banyak,aku sudah -- dengan pidato-pidato itu,
BOSIK,benang yang dihitamkan dengan jelaga dan digunakan sebagai tanda pada kayu yang akan digergaji,,Batak
BOSOK,masakan pada periuk yang mendidih dan masak pada bagian tengahnya,,Bugis
BOSON,"partikel elementer, inti atom, dan partikel lain yang tunduk pada statistika Bose-Einstein",,
BOSOR,berlubang tembus,goni itu -- sehingga isinya tertuang keluar,
BOSOT,bodong,,
BOSUN,bosman,,Pelayaran
BOTAK,gundul,,
BOTIA,"ikan air tawar yang ukurannya dapat mencapai 30,5 cm, tubuhnya agak membulat, mulutnya bersungut, terdapat duri di bawah mata",,
BOTIR,"cara tebang kayu dengan memotong atau menoreh keliling batang untuk mencegah pecahnya batang pada waktu rebah, mengakibatkan arah rebah yang tidak menentu",penebang kayu menebang pohon dengan teknik --,Minahasa Tonsawang
BOTOH,penyabung ayam dan sebagainya,,Jawa
BOTOK,"ikan dan sebagainya yang dicampur dengan parutan kelapa muda yang dibumbui, kemudian dibungkus dengan daun pisang dan dikukus",,
BOTOL,"wadah untuk benda cair, yang berleher sempit dan biasanya dibuat dari kaca atau plastik",,
BOTOR,→ kacang (1),,
BOXER,"anjing besar, berbulu halus, berhidung pesek, dan berekor pendek",,Ungkapan
BOYAK,hambar (tidak sedap) rasanya (lagi) karena sudah kering atau busuk (tentang tembakau),tembakau yang sudah --,
BOYAS,buncit,,Arkais
BOYUT,tempat penyimpanan benih atau biji yang terbuat dari kajang atau rotan,benih sawi telah tersusun rapi di --,
BOZAH,minuman keras yang dibuat dari jelai,,
BPHTB,bea perolehan hak atas tanah dan bangunan,,singkatan
BPKLN,Biro Perencanaan dan Kerja Sama Luar Negeri,,singkatan
BRAJG,Bendara Raden Ajeng Gusti,,singkatan
BRANA,→ raja,,
BRATA,tindakan pengendalian diri,"ada tiga -- yang mesti dilakukan berkaitan dengan Syiwaratri, yaitu tidak tidur selama 36 jam, berpuasa selama 24 jam, dan tafakur memusatkan pikiran pada Syiwa",Agama Hindu
BRATI,anak persilangan antara itik dengan entok,,Jawa
BRATU,bandar judi,,
BRAVO,kata yang digunakan untuk memuji seseorang karena telah melakukan sesuatu dengan baik,,Ungkapan
BROME,"alat untuk menimba dan menampung air yang terbuat dari pelepah pohon sagu, pada kedua sisinya dijahit tali rotan sebagai pegangan","saat hujan, beberapa -- akan terisi air",
BRUTO,"kotor (tentang berat, gaji, hasil keuntungan, pendapatan)","berat -- barang kiriman itu 102,5 kg",
BRUTU,bagian belakang tubuh unggas tempat ekor tumbuh dan kotoran keluar,,Jawa
BUANA,dunia,,Klasik
BUANG,lempar,,
BUANI,berhubungan dengan buana (dunia),,
BUARI,dendeng,,Arkais
BUAWU,tempurung kelapa,,Gorontalo
BUAYA,"reptilia air bertubuh panjang dan besar, berkulit tebal, bernapas dengan paru-paru, merupakan karnivor, biasanya berwarna hijau atau abu-abu, tersebar di perairan tropis dan subtropis",,
BUBAR,bercerai-berai ke mana-mana (tentang orang ramai yang berkumpul),demonstran -- setelah petugas melepaskan tembakan,
BUBUH,taruh,,
BUBUK,"binatang kecil yang berkulit keras, berupa kumbang yang suka makan kayu, balok, beras, dan sebagainya",tiang itu rusak dimakan --,
BUBUL,"bisul pada tumit orang atau pada kuku kuda (ada beberapa jenis seperti -- bubu, -- gantang, -- galai)",,
BUBUN,ubun-ubun,,Minangkabau
BUBUR,"makanan lembek dan berair yang dibuat dari beras, kacang-kacangan, dan sebagainya yang direbus",setiap pagi ia makan -- kacang hijau,
BUBUS,cari: membubus,,prakategorial
BUBUT,tali bubut,,Pelayaran
BUCIK,kata panggilan untuk pembantu pembina pramuka siaga putri,,Pramuka
BUCIN,budak cinta,,Cakapan
BUDAK,anak,-- bermain layang-layang,
BUDEK,tuli,,Cakapan
BUDEL,barang-barang warisan,,Jawa
BUDHA,→ Buddha,,
BUDIG,padi yang rusak karena terganggu oleh orang-orang yang lalu-lalang di pematang,,Sunda
BUDUK,kusta,,Jawa
BUDUR,sembul ke luar,,
BUENG,daerah berpaya yang dapat ditanami padi karena tidak terlalu dalam (di Aceh),,
BUERA,"pohon yang mempunyai buah dan biji berwarna merah, biasa dijadikan perhiasan oleh masyarakat Orya",,
BUFER,penyangga,,
BUFET,lemari tempat menyimpan makanan atau barang-barang pajangan (hiasan),,
BUGAR,sehat dan segar (tentang badan),,
BUGAT,pemberontak,,Arab
BUGGY,jenis mobil terbuka untuk satu hingga dua orang,,Ungkapan
BUGIL,tidak berpakaian sedikit pun,pertunjukan tari -- tidak sesuai dengan kepribadian kita,
BUGIS,penganan yang terbuat dari tepung ketan dicampur parutan kelapa muda dengan isian gula merah dan dibungkus daun pisang,,Jawa
BUHUK,gondok,,Minangkabau
BUHUL,simpul (tentang dasi),,
BUHUR,→ buhul,,
BUJAL,tersembul,,
BUJAM,tempat sirih yang dibuat dari daun mengkuang yang dianyam,,Klasik
BUJAN,penganan khas Bangka yang terbuat dari keladi atau talas yang digoreng dan dimakan dengan cocolan sambal belacan,,
BUJET,anggaran pemasukan dan pengeluaran uang,,
BUJUK,usaha untuk meyakinkan seseorang dengan kata-kata manis dan sebagainya bahwa yang dikatakan benar,"berbagai-bagai -- dikatakannya, tetapi tiada mengena",
BUJUL,kawin dengan orang yang satu marga,,Alas
BUJUR,panjang dari suatu bidang,tanah itu --nya 15 m dan lintangnya 10 m,
BUJUT,"kusut (benang, rambut, dan sebagainya)",,Arkais
BUKAN,berlainan dengan sebenarnya,"engkau sudah dewasa, -- anak-anak lagi",Adverbia
BUKAT,becek dan kotor,,
BUKAU,lembah,setiap hari Minggu acara mereka mendaki bukit dan menuruni --,
BUKET,karangan (tentang bunga dan sebagainya),,
BUKIT,"tumpukan tanah yang lebih tinggi daripada tempat sekelilingnya, lebih rendah daripada gunung",anak --,
BUKTI,sesuatu yang menyatakan kebenaran suatu peristiwa,surat ini sebagai -- bahwa Tuan sudah meminjam uang saya,
BUKUR,bongkah atau gumpal kecil seperti tanah atau garam,,
BUKUT,bungkus,,
BULAI,putih seluruh tubuh dan rambutnya karena kekurangan pigmen,,
BULAK,cari: bulakan,,prakategorial
BULAN,"(huruf pertama biasa ditulis kapital) satelit alami yang mengitari bumi, tampak bersinar pada malam hari karena pantulan sinar matahari",pesawat antariksa Apollo berhasil mendarat di --,Astronomi
BULAR,warna keputih-putihan pada bagian mata yang hitam,,
BULAT,berbentuk sebagai bola,bumi ini -- bentuknya,
BULEK,ampeng,,Toraja
BULGA,tunggul bambu,,Madura
BULIK,ibu cilik,,akronim
BULIR,"tangkai beserta buah (bunga) majemuk yang terdapat pada tangkai itu, seperti -- padi, -- jelai",,
BULIT,ayam jantan yang warna bulunya menyerupai warna bulu burung elang,,Dayak
BULOG,→ perum (2),,
BULUG,akil balig,,
BULUH,bambu,,
BULUK,kotor karena debu,,Cakapan
BULUR,sangat lapar,,Klasik
BULUS,"tidak berdaun, tidak berbulu, tidak beranting (tentang pohon)",,
BUMBU,"berbagai jenis hasil tanaman yang berbau harum atau sedap, seperti jahe, kunyit, lengkuas, pala, merica yang digunakan untuk menyedapkan masakan",,
BUMEL,→ kereta api,,
BUMIL,ibu hamil,,akronim
BUNAK,suku bangsa yang mendiami daerah perbatasan antara Timor Leste dan Provinsi Nusa Tenggara Timur di Pulau Timor,,
BUNDA,kata sapaan kepada ibu,,
BUNDU,bunyi langkah orang yang berjalan di atas papan,,Wolio
BUNGA,"bagian tumbuhan yang akan menjadi buah, biasanya elok warnanya dan harum baunya",-- mangga,
BUNGO,kabupaten di Provinsi Jambi,,
BUNTU,"tertutup (tidak dapat terus tentang pintu, jalan, pipa, dan sebagainya)",gang --,
BUNUH,habisi nyawa secara sengaja,,
BUNUT,"pohon yang tingginya mencapai 30 m, daun majemuk menyirip genap, anak daun melonjong atau membundar telur, perbungaan tandan, bunga kecil berwarna putih, buah polong, elips atau membundar, berwarna cokelat, tumbuh di hutan sekunder, hutan pamah, atau hutan mangrove, hingga ketinggian 400 mdpl, kayu digunakan sebagai bahan bangunan, kerajinan, dan sebagainya",,Botani
BUNYI,sesuatu yang terdengar (didengar) atau ditangkap oleh telinga,-- meriam,
BUPET,→ bufet,,
BURAI,"cari: berburai, memburai, memburaikan, terburai",,prakategorial
BURAK,"kendaraan yang sangat cepat, digunakan Nabi Muhammad saw. ketika melaksanakan Isra",,Agama Islam
BURAM,tidak bercahaya,,
BURAS,omongan,,
BURAT,bedak basah yang kuning warnanya dan harum baunya,,
BURDA,tradisi kaum Islam di India yang memberi tempat terpisah bagi kaum wanita,,
BUREM,anak panah tradisional yang terbuat dari tulang daun rumbia,,Kur
BURES,habis tanpa sisa (tentang makanan),"karena sangat lapar, dihabiskannya nasi di bakul itu sampai --",Jawa
BURET,"tabung kaca panjang berskala dan dilengkapi dengan keran untuk mengatur kecepatan tetesan (aliran) cairan, yang digunakan untuk mengukur dengan cermat volume sejumlah cairan yang ditambahkan ke dalam suatu wadah, misalnya dalam titrasi",,Kimia
BURGO,"penganan, dibuat dari tepung beras, dikukus lalu digulung dan dimakan dengan kuah santan",,Palembang
BURID,merapikan jala seperti semula,,Jawa
BURIK,bopeng,,
BURIT,(bagian) belakang,,
BURKA,→ burkak,,
BURMA,bahasa yang dituturkan di Myanmar,,
BUROK,pengarakan boneka pengantin tebu untuk menandai dimulainya musim giling tebu di Cirebon,,
BURON,orang yang (sedang) diburu (oleh polisi),,
BURSA,"tempat memperjualbelikan saham, obligasi, dan sebagainya",,
